Feature,Importance
OverallQual,0.5192122139563645
GrLivArea,0.11183212803257443
TotalBsmtSF,0.04451059834209541
GarageArea,0.04438272208378647
GarageCars,0.033202393090810856
1stFlrSF,0.027031220148398896
CentralAir,0.02279986774590229
BsmtFinSF1,0.01923177097176351
YearBuilt,0.016006655159916453
MSZoning,0.013296328026176108
LotArea,0.012999113992382341
OverallCond,0.012749180151215291
GarageType,0.009584864517909035
YearRemodAdd,0.00792758882561307
2ndFlrSF,0.006364574130336008
BsmtUnfSF,0.006341256792490769
OpenPorchSF,0.004989969669488486
GarageYrBlt,0.004825683302541223
BsmtFinType1,0.004604552654166078
MasVnrArea,0.004343306781608725
Fireplaces,0.00434200801546893
Neighborhood,0.004295567307630068
MoSold,0.004025958514814045
WoodDeckSF,0.00348779910743066
BsmtQual,0.003100328472331911
TotRmsAbvGrd,0.0030180622946550375
KitchenQual,0.00273650488370169
LotShape,0.0026352267060034576
EnclosedPorch,0.0025819874838467955
ExterCond,0.002579666810002411
MSSubClass,0.0024330339001187146
Exterior1st,0.002411848658458742
YrSold,0.0023455131036340185
GarageFinish,0.0021504363973431947
BedroomAbvGr,0.0020887757041335568
GarageQual,0.0018894088164251102
HalfBath,0.001789463508701361
SaleCondition,0.0017413662263298382
ExterQual,0.0017370547090066076
Exterior2nd,0.001647884831071321
KitchenAbvGr,0.0014934288160345318
HeatingQC,0.0013876288241550338
BsmtExposure,0.0013338958242317847
LandContour,0.00132225811208512
HouseStyle,0.0012757341228422
Foundation,0.001246977695791769
BsmtCond,0.0012418179186783514
RoofStyle,0.0011765736524158548
FullBath,0.0011192805304843082
BsmtFullBath,0.0010875337599616948
PavedDrive,0.0010736288707110932
Condition1,0.0010382779802045013
Functional,0.0008253334668215955
GarageCond,0.0007642783945646849
LotConfig,0.0007445279976923147
LandSlope,0.0006347793488638438
BsmtFinSF2,0.0006239349875669345
BldgType,0.0005779241163046666
Electrical,0.0005187663137272405
SaleType,0.0005144245279113622
BsmtFinType2,0.0004531793729523567
BsmtHalfBath,0.00027193153935144826
